datetime,Platform Name,location,priority,monitoring item
9/30/2019 15:13,platform 1,location 1,WARNING,Consumer
9/30/2019 15:08,platform 1,location 1,WARNING,Consumer
9/30/2019 15:03,platform 1,location 1,WARNING,Consumer
9/30/2019 14:58,platform 1,location 1,WARNING,Consumer
9/30/2019 14:53,platform 1,location 1,WARNING,Consumer
9/30/2019 14:48,platform 1,location 1,WARNING,Consumer
9/30/2019 14:43,platform 1,location 1,WARNING,Consumer
9/30/2019 14:38,platform 1,location 1,WARNING,Consumer
9/30/2019 14:33,platform 1,location 1,WARNING,Consumer
9/30/2019 14:28,platform 1,location 1,WARNING,Consumer
9/30/2019 14:23,platform 1,location 1,WARNING,Consumer
9/30/2019 14:18,platform 1,location 1,WARNING,Consumer
9/30/2019 14:16,platform 1,location 2,WARNING,Admin
9/30/2019 14:13,platform 1,location 1,WARNING,Consumer
9/30/2019 14:08,platform 1,location 1,WARNING,Consumer
9/30/2019 14:03,platform 1,location 1,WARNING,Consumer
9/30/2019 13:58,platform 1,location 1,WARNING,Consumer
9/30/2019 13:53,platform 1,location 1,WARNING,Consumer
9/30/2019 13:48,platform 1,location 1,WARNING,Consumer
9/30/2019 13:43,platform 1,location 1,WARNING,Consumer
9/30/2019 13:38,platform 1,location 1,WARNING,Consumer
9/30/2019 13:33,platform 1,location 1,WARNING,Consumer
9/30/2019 13:28,platform 1,location 1,WARNING,Consumer
9/30/2019 13:23,platform 1,location 1,WARNING,Consumer
9/30/2019 13:18,platform 1,location 1,WARNING,Consumer
9/30/2019 13:13,platform 1,location 1,WARNING,Consumer
9/30/2019 13:08,platform 1,location 1,WARNING,Consumer
9/30/2019 13:03,platform 1,location 1,WARNING,Consumer
9/30/2019 12:58,platform 1,location 1,WARNING,Consumer
9/30/2019 12:53,platform 1,location 1,WARNING,Consumer
9/30/2019 12:48,platform 1,location 1,WARNING,Consumer
9/30/2019 12:43,platform 1,location 1,WARNING,Consumer
9/30/2019 12:38,platform 1,location 1,WARNING,Consumer
